regio,jaar,met_schade,Q1,Q2,Q3,Q4,Q5,gemiddeld
ME,2040,False,2080.8448412125763,5012.655599202628,9215.542226159036,16942.360559466637,40813.33544918753,18084.69172645399
ME,2040,True,2039.6639073931192,4913.452701224803,9033.162152926514,16607.06298459402,40005.619644147075,17726.78686090025
ME,2050,False,2536.538250313007,6110.399204783481,11233.69455091393,20652.642983529087,49751.22817393382,22045.138301872772
ME,2050,True,2473.9377941978178,5959.597703084014,10956.452761771126,20142.946403714628,48523.393515578166,21501.07565560699
ME,2060,False,3092.025973234821,7448.542534571464,13693.81097348959,25175.45655506583,60646.46953191128,26872.900577995606
ME,2060,True,2999.8921023038497,7226.596450533205,13285.773064459778,24425.297182230395,58839.37151765154,26072.162041247928
ME,2070,False,3769.162407852106,9079.731786736224,16692.679165146787,30688.74106144569,73927.70795178192,32757.91585365054
ME,2070,True,3636.699776916196,8760.635650640332,16106.035247925814,29610.22256284203,71329.60852418654,31606.67872231545
ME,2080,False,4594.587943225722,11068.142383080485,20348.28275707668,37409.40411056628,90117.46347622422,39931.71663625781
ME,2080,True,4407.5005147390675,10617.457724921373,19519.719251016533,35886.12731126527,86447.9625956578,38305.73357252082
ME,2090,False,5600.777064967343,13492.003804682587,24804.44313735201,45601.854866109235,109852.68512159868,48676.53976041009
ME,2090,True,5340.211220950023,12864.313161389233,23650.462076064858,43480.312504377616,104741.99114391486,46411.953343313005
ME,2100,False,6827.315989829805,16446.677352456107,30236.47777550935,55588.40662319793,133909.81018466988,59336.43035259283
ME,2100,True,6468.499570668309,15582.305777520425,28647.36944953968,52666.90232470914,126872.04620060437,56217.944918981964
MEX,2020,False,919.3312299338745,2847.8186114827517,6231.682915344794,13636.357245794126,42241.436701974555,19003.7343
MEX,2020,True,907.0570548167815,2809.796815637123,6148.482470405443,13454.29551293408,41677.462832279154,18750.01164261384
MEX,2030,False,1120.6596394163103,3471.474996554692,7596.386700981966,16622.643391678117,51492.07563226873,23165.446070762977
MEX,2030,True,1096.3941100610236,3396.3075010259727,7431.902911253628,16262.714982555332,50377.12294826715,22663.847019733363
MEX,2040,False,1366.0778471618191,4231.708649951489,9259.9530006194,20262.909540018354,62768.5528696836,28238.549496949545
MEX,2040,True,1322.7023226564543,4097.3439923099895,8965.932188312563,19619.524295810566,60775.534017337966,27341.922779632023
MEX,2050,False,1665.2412729687085,5158.429231334413,11287.831037168758,24700.373662140908,76514.51569929023,34422.63426552726
MEX,2050,True,1592.5566371484667,4933.273539981887,10795.138535814662,23622.24901233808,73174.80162971852,32920.15130634454
MEX,2060,False,2029.919819693822,6288.096448934494,13759.80304815235,30109.617665935235,93270.76768603604,41960.99909119806
MEX,2060,True,1913.5209186128714,5927.526780395861,12970.793581691341,28383.083260841802,87922.47030192125,39554.88721668524
MEX,2070,False,2474.460933243533,7665.154483639998,16773.12313592457,36703.45592295062,113696.54535790526,51150.22374957552
MEX,2070,True,2294.2399777047503,7106.882802388109,15551.49613898362,34030.254738343865,105415.7518442242,47424.82963390136
MEX,2080,False,3016.3540701188867,9343.780543954954,20446.343508577014,44741.30796460034,138595.45436396735,62351.83733221587
MEX,2080,True,2744.5188274038023,8501.714661436603,18603.709447360536,40709.200318342446,126105.16705006738,56732.66052441283
MEX,2090,False,3676.918780203398,11390.016344736665,24923.97864625141,54539.4047521148,168947.08550631424,76006.54178439194
MEX,2090,True,3275.377929021447,10146.160515593523,22202.135657948325,48583.385509854124,150497.0841399086,67706.18670235421
MEX,2100,False,4482.143475841872,13884.366367883078,30382.190893848954,66483.2300626635,205945.55450657418,92651.55031827214
MEX,2100,True,3899.0686024991637,12078.171362071356,26429.82029197357,57834.533036979694,179154.42683370115,80598.65837984862
NAF,2020,False,2824.637714936527,6189.367442690588,10656.206530808035,18346.743617773034,40201.52284548374,18226.0355
NAF,2020,True,2766.6320846776766,6062.265068634471,10437.374935973972,17969.982229535894,39375.96045293802,17851.7529253862
NAF,2030,False,3443.217613014369,7544.8043759370485,12989.856299366686,22364.578095139757,49005.432023936446,22217.43557312636
NAF,2030,True,3318.9837176034907,7272.58212829493,12521.17246050671,21557.647204254932,47237.27897615485,21415.81369571231
NAF,2040,False,4197.263057092184,9197.07443421929,15834.562345461738,27262.295903512346,59737.348186610914,27082.929990234057
NAF,2040,True,3962.6166398590917,8682.915436877172,14949.33707549958,25738.20747438745,56397.754137744,25568.86894522877
NAF,2050,False,5116.440245845508,11211.182415589754,19302.243142176958,33232.58658262748,72819.49410476263,33013.94053520398
NAF,2050,True,4707.088155830346,10314.20703175929,17757.924594013155,30573.74017369022,66993.40982090223,30372.587385678682
NAF,2060,False,6236.912109922278,13666.368806147251,23529.326683695777,40510.33760621553,88766.55698054677,40243.80929445238
NAF,2060,True,5560.902561695967,12185.09159080216,20979.018258440017,36119.48287858424,79145.28301926077,35881.84317074063
NAF,2070,False,7602.761059992987,16659.227316283916,28682.117933658905,49381.875494080516,108205.9376414332,49056.97896927061
NAF,2070,True,6530.402969105309,14309.468188042874,24636.548043029983,42416.63571981698,92943.6517697284,42137.56536451733
NAF,2080,False,9267.723308684877,20307.505139974328,34963.341714761766,60196.23067616,131902.43419520775,59800.18362534104
NAF,2080,True,7618.186954904238,16693.028653437064,28740.313546224577,49482.07062265041,108425.48596205762,49156.51488737615
NAF,2090,False,11297.302999342215,24754.735449643562,42620.11845466452,73378.86929895627,160788.3312676839,72896.09015395258
NAF,2090,True,8820.88157881931,19328.382174844755,33277.5900394755,57293.879478264884,125542.78038314013,56916.927769786394
NAF,2100,False,13771.349317188196,30175.884381561915,51953.686575751635,89448.43222095232,196000.07861557527,88859.92713710298
NAF,2100,True,10126.062135849028,22188.30364505497,38201.50417620092,65771.36065332046,144118.7010059696,65338.63333597011
OCE,2020,False,11626.213150223579,23245.35832895314,37561.00974210268,60692.95352995615,121349.00974348656,57090.5959
OCE,2020,True,11478.85206116581,22950.725736669494,37084.9276997225,59923.67641325931,119810.92317988885,56366.97830602709
OCE,2030,False,14172.288955792212,28335.962093772538,45786.66128499188,73984.37168601766,147923.76574919958,69593.11783627557
OCE,2030,True,13858.339450542368,27708.253943884552,44772.379138875294,72345.4439898989,144646.90671700527,68051.46673237515
OCE,2040,False,17275.941155664033,34541.379677491685,55813.6846165951,90186.53625207364,180318.2450328859,84833.62231245755
OCE,2040,True,16684.98778743605,33359.832201743135,53904.4812556785,87101.55020779643,174150.14841256334,81931.74192326145
OCE,2050,False,21059.275868912235,42105.74908578267,68036.57010697665,109936.88444993267,219806.93451833524,103411.71222682849
OCE,2050,True,20030.782427544404,40049.38745928749,64713.798395177866,104567.78413874474,209071.99795515544,98361.28843980184
OCE,2060,False,25671.139773334256,51326.67318526843,82936.19931598664,134012.44869607632,267943.4266540037,126058.30016660754
OCE,2060,True,23975.657258079682,47936.7388964059,77458.57436191315,125161.4290063831,250246.7681113567,117732.62215922875
OCE,2070,False,31292.976138599945,62566.92820973676,101098.76418176074,163360.42717035074,326621.54196550505,153664.3644971188
OCE,2070,True,28607.056186457317,57196.721167795564,92421.31571377035,149338.9730017215,298587.157748447,140475.1369622208
OCE,2080,False,38145.96329798242,76268.73636388169,123238.82940593218,199135.4491686175,398149.8371060341,187316.00287402832
OCE,2080,True,34018.81897155124,68016.95674281447,109905.19219757219,177590.29292737893,355072.62265884836,167049.6335999772
OCE,2090,False,46499.71640556538,92971.16404762301,150227.44537251713,242745.00135969438,485342.42975407717,228337.16227916244
OCE,2090,True,40309.09407369435,80593.68287433193,130227.29375714662,210427.75853479988,420727.5908584032,197938.0707304609
OCE,2100,False,56682.89482972287,113331.33019446964,183126.41763916562,295904.80213908723,591629.7136569176,278341.7266957364
OCE,2100,True,47576.87846795962,95124.83332885642,153707.45164770188,248368.16912312628,496585.34676547564,233626.57364882907
RCAM,2020,False,967.8488440737885,2592.392421547974,5129.3020621899095,10148.82601356917,27183.72792020385,11960.6946
RCAM,2020,True,954.9269005867906,2557.780871849403,5060.8197244972,10013.327007696806,26820.792531995627,11801.00497425648
RCAM,2030,False,1179.8023403243242,3160.111896303677,6252.590592277102,12371.362280038456,33136.812649384185,14580.019976661426
RCAM,2030,True,1154.2562000729567,3091.686314361878,6117.203883211258,12103.486429055265,32419.3046105446,14264.320284890055
RCAM,2040,False,1438.172469552107,3852.1587681532346,7621.873042497503,15080.621587100499,40393.58971601102,17772.962994962374
RCAM,2040,True,1392.5078060590254,3729.8455285426717,7379.86433002296,14601.78366979847,39111.01775700689,17208.638206647724
