regio,jaar,type,met_schade,waarde
INDIA,2100,Q4,False,35706.52550607933
INDIA,2100,Q5,False,89447.74129741566
INDIA,2020,Q1,True,786.7110998886734
INDIA,2020,Q2,True,1970.7750877823823
INDIA,2020,Q3,True,3722.7152458775163
INDIA,2020,Q4,True,7032.060070072892
INDIA,2020,Q5,True,17615.8805994348
INDIA,2030,Q1,True,935.5301549018749
INDIA,2030,Q2,True,2343.5788860875496
INDIA,2030,Q3,True,4426.926696628786
INDIA,2030,Q4,True,8362.28730923655
INDIA,2030,Q5,True,20948.20768164357
INDIA,2040,Q1,True,1106.1166188332522
INDIA,2040,Q2,True,2770.9118085242867
INDIA,2040,Q3,True,5234.141479930481
INDIA,2040,Q4,True,9887.083720112814
INDIA,2040,Q5,True,24767.94631367784
INDIA,2050,Q1,True,1299.622430182643
INDIA,2050,Q2,True,3255.6595544280394
INDIA,2050,Q3,True,6149.810566305662
INDIA,2050,Q4,True,11616.745967804078
INDIA,2050,Q5,True,29100.89047642067
INDIA,2060,Q1,True,1516.3875266265602
INDIA,2060,Q2,True,3798.673695238903
INDIA,2060,Q3,True,7175.542540114182
INDIA,2060,Q4,True,13554.312603770535
INDIA,2060,Q5,True,33954.65198763027
INDIA,2070,Q1,True,1755.469253760252
INDIA,2070,Q2,True,4397.592805247317
INDIA,2070,Q3,True,8306.876762724325
INDIA,2070,Q4,True,15691.357660207146
INDIA,2070,Q5,True,39308.123114820104
INDIA,2080,Q1,True,2013.9915288358218
INDIA,2080,Q2,True,5045.212063991543
