Model,Scenario,Region,Variable,Unit,2010,2020,2030,2040,2050,2060,2070,2080,2090,2100
IMAGE,SSP1-Ref-SPA0-V17,RUS,GDP|PPP,billion US$2005/yr,2135.132080078125,2964.389892578125,4279.0390625,5737.2919921875,6636.4912109375,7265.73583984375,7827.93212890625,7993.25,8046.94384765625,8021.31982421875
IMAGE,SSP2-Ref-SPA0-V17,RUS,GDP|PPP,billion US$2005/yr,2135.132080078125,2955.131103515625,4002.156005859375,4970.73095703125,5664.52783203125,6411.9228515625,7305.64404296875,8062.35888671875,8768.98046875,9469.3212890625
IMAGE,SSP3-Ref-SPA0-V17,RUS,GDP|PPP,billion US$2005/yr,2135.132080078125,2940.39599609375,3802.35302734375,4471.1220703125,4731.1640625,4974.6728515625,5465.68603515625,5997.42919921875,6510.5068359375,7042.3271484375
IMAGE,SSP4-Ref-SPA0-V17,RUS,GDP|PPP,billion US$2005/yr,2135.132080078125,3077.430908203125,4207.30615234375,5388.97314453125,6143.64111328125,6810.85400390625,7486.44287109375,7871.27978515625,8110.0419921875,8238.3349609375
IMAGE,SSP5-Ref-SPA0-V17,RUS,GDP|PPP,billion US$2005/yr,2135.132080078125,3138.39990234375,4982.0048828125,7397.46484375,9239.294921875,10853.650390625,12536.5,13778.990234375,14947.26953125,16019.6904296875
IMAGE,SSP1-Ref-SPA0-V17,SAF,GDP|PPP,billion US$2005/yr,466.5701904296875,670.9224853515625,1025.93603515625,1484.2979736328125,1958.343017578125,2397.64404296875,2754.860107421875,2998.656005859375,3141.51806640625,3198.48388671875
IMAGE,SSP2-Ref-SPA0-V17,SAF,GDP|PPP,billion US$2005/yr,466.5701904296875,669.4298706054688,966.8568725585938,1292.9200439453125,1638.9549560546875,2012.7900390625,2406.44091796875,2796.138916015625,3165.7041015625,3503.27294921875
IMAGE,SSP3-Ref-SPA0-V17,SAF,GDP|PPP,billion US$2005/yr,466.5701904296875,657.590576171875,881.4520874023438,1060.2469482421875,1215.68505859375,1373.740966796875,1545.7039794921875,1723.531005859375,1900.52197265625,2078.763916015625
IMAGE,SSP4-Ref-SPA0-V17,SAF,GDP|PPP,billion US$2005/yr,466.5701904296875,687.8800048828125,967.8292846679688,1254.5830078125,1522.2879638671875,1777.446044921875,2004.4630126953125,2187.509033203125,2323.123046875,2410.114013671875
IMAGE,SSP5-Ref-SPA0-V17,SAF,GDP|PPP,billion US$2005/yr,466.5701904296875,704.0894775390625,1136.530029296875,1781.9580078125,2532.93994140625,3326.152099609375,4086.114990234375,4738.5458984375,5280.8779296875,5717.02978515625
