Year,BRA,CAN,CEU,CHN,EAF,INDIA,INDO,JAP,KOR,ME,MEX,NAF,OCE,RCAM,RSAF,RSAM,RSAS,RUS,SAF,SEAS,STAN,TUR,UKR,USA,WAF,WEU
1911,0.005383972,0.060269136,0.178100226,0.025308346,0,0.024782446,0.006727104,0.044209824,0.000234496,0.000135568,0.011143016,1.10E-05,0.024136106,0.003187652,0.00051296,0.018570325,0,0.063082303,0.01634144,0.001194464,0.010976374,0.002227712,0.023201694,1.2586666,0,1.311695441
1912,0.005477784,0.06727104,0.193937526,0.017769282,0,0.028521446,0.005840416,0.0492808,0.00029312,0.000252816,0.01087547,8.43E-05,0.02607329,0.003728153,0.000520288,0.019253085,0,0.071458292,0.01734904,0.001161488,0.012433802,0.00199688,0.026282383,1.3435656,0,1.343050867
1913,0.006107222,0.07928163,0.206437136,0.025105288,0,0.03146676,0.00589904,0.054315136,0.000340752,0.000853712,0.013603184,4.03E-05,0.0270149,0.003775912,0.000582576,0.019860481,0,0.077626415,0.018983184,0.001421632,0.013507063,0.002037184,0.028551023,1.4425421,0,1.457180382
1914,0.004657949,0.06838123,0.175029696,0.02763808,0,0.031698144,0.006016288,0.058015776,0.000487312,0.00117248,0.011933138,0.000307776,0.030004424,0.003553154,0.00084272,0.016913044,0,0.070059603,0.018400608,0.001810016,0.012190428,0.001663456,0.025767942,1.3179803,0,1.305262807
1915,0.003211753,0.06111552,0.171506371,0.026435506,0,0.03314172,0.006030944,0.05284221,0.000608224,0.001403312,0.015777556,9.16E-05,0.027201164,0.003706864,0.000985616,0.012463325,0,0.064305293,0.018510528,0.001967568,0.011189176,0.001036912,0.023651509,1.367697,1.83E-05,1.235378556
1916,0.002735087,0.07645669,0.187429138,0.031515682,0,0.033517506,0.006763744,0.05859835,0.000505632,0.002007872,0.01840763,0.000194192,0.024891626,0.004277647,0.001183472,0.011911757,0,0.068538373,0.021811792,0.00241824,0.011925735,0.00051296,0.025208434,1.5189807,6.60E-05,1.282115074
1917,0.002840131,0.08524296,0.195339145,0.033822472,0,0.03501977,0.007137472,0.06748355,0,0.002799296,0.027475374,0.000458,0.025951116,0.004676504,0.001322704,0.010246303,0,0.063077678,0.02333968,0.00239992,0.01097557,0.000392048,0.02319999,1.6709706,0.000223504,1.253744528
1918,0.002656656,0.08951885,0.165929919,0.036891404,0,0.03935931,0.007130144,0.07154326,0.000498304,0.003447824,0.03239064,0.000923328,0.027907988,0.004792145,0.001179808,0.008993544,0,0.025155706,0.02222216,0.002388928,0.004377113,0.000458,0.009252276,1.7477181,0.000399376,1.19455155
1919,0.00296794,0.07609029,0.062300615,0.040906512,0,0.04297476,0.007635776,0.0791937,0.000589904,0.004319856,0.042360896,0.000707152,0.026314662,0.003475088,0.00122744,0.010662803,0,0.021486732,0.02313816,0.002594112,0.003738709,0.000937984,0.007902826,1.4791588,0.000370064,1.092784554
1920,0.003964006,0.08437826,0.138389998,0.04332324,0,0.034867976,0.00826232,0.07428027,0.000765776,0.005437376,0.07766534,0.000505632,0.029863852,0.004641506,0.001388656,0.01216381,0,0.019593292,0.02566632,0.003070432,0.00340925,0.001403312,0.007206419,1.7382458,0.000490976,1.218853503
1921,0.002886595,0.08048342,0.139849913,0.04151806,0,0.03750552,0.00875696,0.06680938,0.0008244,0.00725472,0.09141917,0.000608224,0.027284434,0.002625846,0.001384992,0.01249036,0,0.021248606,0.025413504,0.003927808,0.003697276,0.00084272,0.007815244,1.4236686,0.000578912,1.097289477
1922,0.004026874,0.0692093,0.137277099,0.043543924,0,0.03690337,0.00829896,0.07142968,0.00084272,0.009225952,0.086504696,0.000556928,0.028483052,0.002414842,0.001242096,0.013511528,0,0.025914006,0.021786144,0.00470824,0.004509059,0.001011264,0.00953118,1.4357583,0.00038472,1.237388684
1923,0.004792903,0.09298133,0.123206833,0.0503501,0,0.03797189,0.009588688,0.07590709,0.0010076,0.01157824,0.07332012,0.000483648,0.029520592,0.003072823,0.00148392,0.015111407,0,0.028625854,0.026443088,0.005463024,0.004980923,0.001472928,0.0105286,1.8967359,0.000633872,1.185436475
1924,0.005319118,0.07738368,0.129349065,0.052839844,0,0.04062795,0.010585296,0.07934758,0.001058896,0.013505504,0.06893388,0.000527616,0.032180746,0.003288883,0.001568192,0.019618401,0,0.034105042,0.027776784,0.005869728,0.005934307,0.002451216,0.012543845,1.6983203,0.000758448,1.378882743
1925,0.005341588,0.07524757,0.127827717,0.05044324,0,0.04008493,0.011079936,0.08201131,0.001689104,0.014201664,0.05750601,0.00058624,0.033720956,0.003701463,0.001828336,0.021123883,0,0.033661158,0.028952928,0.006664816,0.00585707,0.002366944,0.012380585,1.7581855,0.000817072,1.365353601
1926,0.0054696,0.08475565,0.133395272,0.048412372,0,0.03994258,0.011098256,0.08260488,0.00181368,0.01505904,0.045134012,0.000571584,0.033859446,0.003667443,0.002322976,0.022036605,0,0.048771687,0.03042952,0.006873664,0.008486316,0.003008144,0.017938243,1.9060485,0.001113856,1.124594188
